timestamp_utc,events,multiplicity_hg_mean,multiplicity_hg_std,multiplicity_lg_mean,multiplicity_lg_std,multiplicity_hg_sem,multiplicity_lg_sem,timestamp_local
2026-02-20 00:21:00+00:00,101,2.8416,0.9564,2.2475,0.5551,0.0952,0.0552,2026-02-19 16:21:00-08:00
2026-02-20 00:22:00+00:00,125,2.704,0.8892,2.24,0.5736,0.0795,0.0513,2026-02-19 16:22:00-08:00
2026-02-20 00:23:00+00:00,127,2.874,1.0312,2.2992,0.7272,0.0915,0.0645,2026-02-19 16:23:00-08:00
2026-02-20 00:24:00+00:00,131,2.7328,1.1288,2.2519,0.768,0.0986,0.0671,2026-02-19 16:24:00-08:00
2026-02-20 00:25:00+00:00,114,2.7193,0.8571,2.1754,0.4842,0.0803,0.0453,2026-02-19 16:25:00-08:00
2026-02-20 00:26:00+00:00,108,2.7593,0.8413,2.213,0.4746,0.081,0.0457,2026-02-19 16:26:00-08:00
2026-02-20 00:27:00+00:00,118,2.7288,0.8234,2.2542,0.542,0.0758,0.0499,2026-02-19 16:27:00-08:00
2026-02-20 00:28:00+00:00,140,2.8214,0.9389,2.2214,0.5374,0.0794,0.0454,2026-02-19 16:28:00-08:00
2026-02-20 00:29:00+00:00,126,2.7857,0.8998,2.2063,0.5414,0.0802,0.0482,2026-02-19 16:29:00-08:00
2026-02-20 00:30:00+00:00,122,2.7377,0.8312,2.2049,0.4969,0.0753,0.045,2026-02-19 16:30:00-08:00
2026-02-20 00:31:00+00:00,99,2.7576,0.9907,2.2626,0.6637,0.0996,0.0667,2026-02-19 16:31:00-08:00
2026-02-20 00:32:00+00:00,112,2.6786,0.7378,2.1696,0.4429,0.0697,0.0419,2026-02-19 16:32:00-08:00
2026-02-20 00:33:00+00:00,96,2.875,0.909,2.2708,0.6066,0.0928,0.0619,2026-02-19 16:33:00-08:00
2026-02-20 00:34:00+00:00,126,2.7857,0.8998,2.2222,0.5198,0.0802,0.0463,2026-02-19 16:34:00-08:00
2026-02-20 00:35:00+00:00,109,2.7523,0.9043,2.1743,0.4683,0.0866,0.0449,2026-02-19 16:35:00-08:00
2026-02-20 00:36:00+00:00,125,2.664,0.8126,2.2,0.4919,0.0727,0.044,2026-02-19 16:36:00-08:00
2026-02-20 00:37:00+00:00,112,2.6786,0.8298,2.1786,0.5061,0.0784,0.0478,2026-02-19 16:37:00-08:00
2026-02-20 00:38:00+00:00,115,2.7217,0.7897,2.1652,0.4575,0.0736,0.0427,2026-02-19 16:38:00-08:00
2026-02-20 00:39:00+00:00,124,2.7581,0.905,2.1774,0.4779,0.0813,0.0429,2026-02-19 16:39:00-08:00
2026-02-20 00:40:00+00:00,99,2.5859,0.8573,2.1111,0.4259,0.0862,0.0428,2026-02-19 16:40:00-08:00
2026-02-20 00:41:00+00:00,94,2.5638,0.7414,2.1809,0.439,0.0765,0.0453,2026-02-19 16:41:00-08:00
2026-02-20 00:42:00+00:00,110,2.6364,0.7982,2.1364,0.3944,0.0761,0.0376,2026-02-19 16:42:00-08:00
2026-02-20 00:43:00+00:00,90,2.6778,0.8589,2.1667,0.5028,0.0905,0.053,2026-02-19 16:43:00-08:00
2026-02-20 00:44:00+00:00,119,2.6218,0.9828,2.1849,0.5363,0.0901,0.0492,2026-02-19 16:44:00-08:00
2026-02-20 00:45:00+00:00,134,2.6567,0.868,2.2612,0.6123,0.075,0.0529,2026-02-19 16:45:00-08:00
2026-02-20 00:46:00+00:00,114,2.7193,0.8876,2.2368,0.5204,0.0831,0.0487,2026-02-19 16:46:00-08:00
2026-02-20 00:47:00+00:00,119,2.8487,0.86,2.2017,0.4618,0.0788,0.0423,2026-02-19 16:47:00-08:00
2026-02-20 00:48:00+00:00,103,2.6796,0.9205,2.1748,0.4299,0.0907,0.0424,2026-02-19 16:48:00-08:00
2026-02-20 00:49:00+00:00,113,2.7345,0.7794,2.1858,0.4129,0.0733,0.0388,2026-02-19 16:49:00-08:00
2026-02-20 00:50:00+00:00,109,2.7431,0.8965,2.1835,0.5122,0.0859,0.0491,2026-02-19 16:50:00-08:00
2026-02-20 00:51:00+00:00,96,2.9062,1.0471,2.2188,0.5272,0.1069,0.0538,2026-02-19 16:51:00-08:00
2026-02-20 00:52:00+00:00,109,2.7156,0.9239,2.2202,0.5504,0.0885,0.0527,2026-02-19 16:52:00-08:00
2026-02-20 00:53:00+00:00,109,2.7523,0.8406,2.2569,0.5838,0.0805,0.0559,2026-02-19 16:53:00-08:00
2026-02-20 00:54:00+00:00,137,2.6642,0.9337,2.1314,0.4169,0.0798,0.0356,2026-02-19 16:54:00-08:00
2026-02-20 00:55:00+00:00,114,2.8947,0.9627,2.3421,0.6357,0.0902,0.0595,2026-02-19 16:55:00-08:00
2026-02-20 00:56:00+00:00,109,2.6055,0.7456,2.1743,0.4683,0.0714,0.0449,2026-02-19 16:56:00-08:00
2026-02-20 00:57:00+00:00,113,2.6372,0.7448,2.1681,0.4412,0.0701,0.0415,2026-02-19 16:57:00-08:00
2026-02-20 00:58:00+00:00,118,2.6695,0.7851,2.1949,0.5432,0.0723,0.05,2026-02-19 16:58:00-08:00
2026-02-20 00:59:00+00:00,76,2.7368,0.8698,2.1184,0.3989,0.0998,0.0458,2026-02-19 16:59:00-08:00
