TStampPC,Brd,TStamp_servEvt,BrdTemp,DetTemp,FPGATemp,HVTemp,Vmon,Imon,HVstatus,BrdStatus,timestamp_utc
1771537435089,0,1771537434352,36.5,26.8,40.7,32.9,57.002,0.007,1,0x44D,2026-02-19 21:43:55.089000+00:00
1771537436090,0,1771537435426,36.5,26.8,40.6,32.9,57.002,0.007,1,0x44D,2026-02-19 21:43:56.090000+00:00
1771537437091,0,1771537436499,36.5,26.8,40.7,32.9,57.002,0.007,1,0x44D,2026-02-19 21:43:57.091000+00:00
1771537438092,0,1771537437573,36.5,26.8,40.7,32.9,56.999,0.007,1,0x44D,2026-02-19 21:43:58.092000+00:00
1771537439093,0,1771537438647,36.5,26.8,40.7,32.9,56.999,0.006,1,0x44D,2026-02-19 21:43:59.093000+00:00
1771537440094,0,1771537439721,36.5,26.8,40.9,32.9,57.002,0.007,1,0x44D,2026-02-19 21:44:00.094000+00:00
1771537441095,0,1771537440794,36.5,26.8,40.7,33.0,57.0,0.007,1,0x44D,2026-02-19 21:44:01.095000+00:00
1771537442096,0,1771537441868,36.5,26.8,40.9,33.0,56.996,0.005,1,0x44D,2026-02-19 21:44:02.096000+00:00
1771537443097,0,1771537442942,36.5,26.8,41.0,33.0,57.0,0.006,1,0x44D,2026-02-19 21:44:03.097000+00:00
1771537444098,0,1771537444016,36.5,26.8,40.9,33.0,57.0,0.006,1,0x44D,2026-02-19 21:44:04.098000+00:00
1771537445099,0,1771537445089,36.5,26.8,40.9,33.0,57.0,0.007,1,0x44D,2026-02-19 21:44:05.099000+00:00
1771537446100,0,1771537445089,36.5,26.8,40.9,33.0,57.0,0.007,1,0x44D,2026-02-19 21:44:06.100000+00:00
1771537447101,0,1771537446163,36.5,26.8,40.9,33.0,56.993,0.006,1,0x44D,2026-02-19 21:44:07.101000+00:00
